Timestamp,Action,Current Count,Over Capacity
23/11/2023 01:16,Entry,1,FALSE
23/11/2023 10:28,Exit,0,FALSE
23/11/2023 00:54,Entry,1,FALSE
23/11/2023 02:49,Exit,0,FALSE
23/11/2023 01:01,Entry,1,FALSE
23/11/2023 11:09,Exit,0,FALSE
23/11/2023 10:13,Entry,1,FALSE
23/11/2023 06:29,Exit,0,FALSE
23/11/2023 09:28,Entry,1,FALSE
23/11/2023 11:05,Exit,0,FALSE
23/11/2023 08:33,Entry,1,FALSE
23/11/2023 06:19,Exit,0,FALSE
23/11/2023 09:27,Entry,1,FALSE
23/11/2023 11:41,Entry,2,FALSE
23/11/2023 08:50,Entry,3,FALSE
23/11/2023 10:38,Exit,2,FALSE
23/11/2023 03:29,Exit,1,FALSE
23/11/2023 11:35,Entry,2,FALSE
23/11/2023 10:41,Entry,3,FALSE
23/11/2023 03:52,Entry,4,FALSE
23/11/2023 07:45,Entry,5,FALSE
23/11/2023 00:36,Entry,6,FALSE
23/11/2023 06:24,Exit,5,FALSE
23/11/2023 00:41,Exit,4,FALSE
23/11/2023 10:10,Exit,3,FALSE
23/11/2023 01:43,Entry,4,FALSE
23/11/2023 10:56,Exit,3,FALSE
23/11/2023 03:55,Entry,4,FALSE
23/11/2023 00:18,Entry,5,FALSE
23/11/2023 05:07,Entry,6,FALSE
23/11/2023 08:00,Entry,7,FALSE
23/11/2023 10:38,Entry,8,FALSE
23/11/2023 11:24,Exit,7,FALSE
23/11/2023 10:12,Exit,6,FALSE
23/11/2023 03:55,Exit,5,FALSE
23/11/2023 06:00,Exit,4,FALSE
23/11/2023 06:26,Entry,5,FALSE
23/11/2023 07:30,Exit,4,FALSE
23/11/2023 09:45,Exit,3,FALSE
23/11/2023 05:27,Entry,4,FALSE
23/11/2023 04:02,Entry,5,FALSE
23/11/2023 08:47,Entry,6,FALSE
23/11/2023 11:14,Entry,7,FALSE
23/11/2023 00:34,Exit,6,FALSE
23/11/2023 00:31,Exit,5,FALSE
23/11/2023 04:58,Entry,6,FALSE
23/11/2023 10:46,Entry,7,FALSE
23/11/2023 01:08,Exit,6,FALSE
23/11/2023 11:55,Entry,7,FALSE
23/11/2023 08:11,Exit,6,FALSE
23/11/2023 09:29,Entry,7,FALSE
23/11/2023 05:07,Entry,8,FALSE
23/11/2023 07:56,Entry,9,FALSE
23/11/2023 09:45,Entry,10,FALSE
23/11/2023 01:10,Exit,9,FALSE
23/11/2023 04:40,Entry,10,FALSE
23/11/2023 01:56,Entry,11,FALSE
23/11/2023 10:09,Exit,10,FALSE
23/11/2023 02:17,Exit,9,FALSE
23/11/2023 04:08,Entry,10,FALSE
23/11/2023 09:00,Exit,9,FALSE
23/11/2023 01:05,Entry,10,FALSE
23/11/2023 10:02,Exit,9,FALSE
